Image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM;STD
frame_det_00_000151;0.0;0.0;0.0;0.0;1.05;0.0;1.02;0.92;1.55;1.01;0.0;0.0;0.0;0.0;1.64;0.51;0.0;7.700;0.606
frame_det_00_000152;0.0;0.0;0.0;0.0;1.01;0.05;1.03;0.94;1.52;1.0;0.0;0.0;0.0;0.0;1.68;0.66;0.0;7.890;0.606
frame_det_00_000153;0.0;0.0;0.0;0.0;1.07;0.0;1.17;1.19;1.47;1.48;0.0;0.0;0.0;0.0;1.58;0.44;0.0;8.400;0.653
frame_det_00_000154;0.0;0.0;0.0;0.0;0.99;0.0;1.16;1.19;1.52;1.34;0.0;0.0;0.0;0.0;1.63;0.45;0.0;8.280;0.646
frame_det_00_000155;0.0;0.0;0.0;0.0;1.02;0.0;1.23;1.13;1.5;1.26;0.0;0.0;0.0;0.0;1.59;0.47;0.0;8.200;0.635
frame_det_00_000156;0.0;0.0;0.0;0.0;1.03;0.0;1.27;1.25;1.54;1.33;0.0;0.0;0.0;0.0;1.6;0.53;0.0;8.550;0.658
frame_det_00_000157;0.0;0.0;0.0;0.0;1.08;0.12;1.22;1.19;1.52;1.06;0.0;0.0;0.0;0.0;1.62;0.72;0.0;8.530;0.632
frame_det_00_000158;0.0;0.0;0.0;0.0;0.87;0.0;1.12;1.06;1.49;1.15;0.0;0.0;0.0;0.0;1.55;0.73;0.0;7.970;0.606
frame_det_00_000159;0.0;0.0;0.0;0.0;0.98;0.0;1.14;1.13;1.5;1.06;0.0;0.0;0.0;0.0;1.57;0.66;0.0;8.040;0.613
frame_det_00_000160;0.0;0.0;0.0;0.0;0.99;0.1;1.19;1.13;1.47;1.25;0.0;0.0;0.0;0.0;1.58;0.65;0.0;8.360;0.623
frame_det_00_000161;0.0;0.0;0.0;0.0;1.1;0.0;1.22;1.0;1.46;1.28;0.0;0.0;0.0;0.0;1.64;0.55;0.0;8.250;0.635
frame_det_00_000162;0.0;0.0;0.0;0.0;1.04;0.0;1.27;1.17;1.43;1.3;0.0;0.0;0.0;0.0;1.63;0.68;0.0;8.520;0.645
frame_det_00_000256;0.0;0.0;0.0;1.69;0.0;0.26;0.0;0.1;0.4;0.0;0.44;0.0;0.61;0.0;0.22;0.46;0.1;4.280;0.422
